question,matched_chunk_id,similarity_score,matched_chunk_text
What is Sulwhasoo’s brand story?,0,0.653,BRAND STORY | Sulwhasoo International Skip to content Sulwhasoo Menu International/English International/English 한국/한국어 中文 繁體中文 Singapore/English Malaysia/English ประเทศไทย/ไทย Việt Nam/Tiếng Việt Indonesia/Bahasa Indonesia USA/English STORE LOCATION Search FIRST CARE CONCENTRATED GINSENG GIFT BEST SELLER PRODUCTS SKIN CARE MAKE UP MEN SPA INTRODUCTION SPA PROGRAM RESERVATION LOCATION FLAGSHIP STORE FLAGSHIP STORE SULWHASOO BUKCHON SULWHASOO DOSAN ABOUT SULWHASOO BRAND STORY BRAND SUSTAINBILITY 
What does ‘Holistic Beauty’ mean in Sulwhasoo’s philosophy?,3,0.7988,"e beauty philosophy. Instead of limiting the focus on visible problems, we seek to expand our perspectives to penetrate into the hidden essence. Sulwhasoo’s holistic beauty aims to view a subject matter as a whole rather than a sum of small parts, obtain insight that penetrates into the hidden essence, and transcend time and space limitations. Seeking to break conventional boundaries and exploring new possibilities, we will continue our journey of creating beauty that defies time. 60 Years of Co"
What is JAUM Activator® and what does it do for the skin?,6,0.6836,"ients so that they could supplement each other for the strongest efficacy. After testing numerous processing methods and combinations to ensure safe use and potent efficacy, we selected five plant ingredients—Peony, Lotus Seed, Solomon’s Seal, White Lily, and Rehmannia—to create JAUM Activator®, our iconic ingredient that serves as a basis for our skincare formulas. JAUM Activator® awakens skin’s natural power to enhance skin barrier, boost moisture, and visibly increase firmness. Sulwhasoo’s Cr"
When did Sulwhasoo first start using ginseng in skincare?,8,0.7129,ion. Concentrated Ginseng Rejuvenating Cream strengthens skin’s natural power from the core for visibly firm skin with stronger self-rejuvenating power. The Ultimate S Cream relieves signs of aging and visibly improves the angle of facial contour. Sulwhasoo’s creations seek to make skin radiant and invigorated to realize timeless beauty. OUR JOURNEY 1932 Beginning of Sulwhasoo Madam Yun Dok-jeong’s Camellia Oil 1954 Beginning of Our Research on Ginseng Korea’s First Research Center for Cosmetics
What are the key herbal ingredients used by Sulwhasoo?,5,0.5787,"op unique ingredients with the aim of effectively delivering the vital energy of ginseng to skin. Encompassing the root, stem, leaf, and fruit of ginseng, Sulwhasoo’s relentless ginseng research will continue moving ahead. Synergies of Five Plant Ingredients JAUM Activator® to Empower Skin Sulwhasoo’s perspective of holistic beauty is well-embodied in our iconic ingredient, JAUM Activator®. The ingredient was created based on our knowhow on herbal synergistic formulas that blend different ingred"
How does Sulwhasoo’s First Care Activating Serum work?,7,0.6601,"eations for Radiant, Invigorated Skin Exposed to irregular living patterns and changes in external environments, skin is always exposed to aging-inducing stimuli. In order to relieve symptoms of aging, skin needs self-rejuvenating power—the power to defy aging on its own. Sulwhasoo’s products are all aimed at strengthening skin’s self-rejuvenating power, with each product designed for its own specific skin benefits. First Care Activating Serum activates stagnant skin to achieve a radiant complex"
What skin concerns does the Ultimate S Cream target?,7,0.4163,"eations for Radiant, Invigorated Skin Exposed to irregular living patterns and changes in external environments, skin is always exposed to aging-inducing stimuli. In order to relieve symptoms of aging, skin needs self-rejuvenating power—the power to defy aging on its own. Sulwhasoo’s products are all aimed at strengthening skin’s self-rejuvenating power, with each product designed for its own specific skin benefits. First Care Activating Serum activates stagnant skin to achieve a radiant complex"
How does Sulwhasoo combine traditional herbal medicine with modern science?,5,0.5195,"op unique ingredients with the aim of effectively delivering the vital energy of ginseng to skin. Encompassing the root, stem, leaf, and fruit of ginseng, Sulwhasoo’s relentless ginseng research will continue moving ahead. Synergies of Five Plant Ingredients JAUM Activator® to Empower Skin Sulwhasoo’s perspective of holistic beauty is well-embodied in our iconic ingredient, JAUM Activator®. The ingredient was created based on our knowhow on herbal synergistic formulas that blend different ingred"
Is Sulwhasoo suitable for anti-aging skincare?,7,0.7442,"eations for Radiant, Invigorated Skin Exposed to irregular living patterns and changes in external environments, skin is always exposed to aging-inducing stimuli. In order to relieve symptoms of aging, skin needs self-rejuvenating power—the power to defy aging on its own. Sulwhasoo’s products are all aimed at strengthening skin’s self-rejuvenating power, with each product designed for its own specific skin benefits. First Care Activating Serum activates stagnant skin to achieve a radiant complex"
Why does Sulwhasoo focus on ginseng in its products?,5,0.6783,"op unique ingredients with the aim of effectively delivering the vital energy of ginseng to skin. Encompassing the root, stem, leaf, and fruit of ginseng, Sulwhasoo’s relentless ginseng research will continue moving ahead. Synergies of Five Plant Ingredients JAUM Activator® to Empower Skin Sulwhasoo’s perspective of holistic beauty is well-embodied in our iconic ingredient, JAUM Activator®. The ingredient was created based on our knowhow on herbal synergistic formulas that blend different ingred"
