chunk_id,text
0,BRAND STORY | Sulwhasoo International Skip to content Sulwhasoo Menu International/English International/English 한국/한국어 中文 繁體中文 Singapore/English Malaysia/English ประเทศไทย/ไทย Việt Nam/Tiếng Việt Indonesia/Bahasa Indonesia USA/English STORE LOCATION Search FIRST CARE CONCENTRATED GINSENG GIFT BEST SELLER PRODUCTS SKIN CARE MAKE UP MEN SPA INTRODUCTION SPA PROGRAM RESERVATION LOCATION FLAGSHIP STORE FLAGSHIP STORE SULWHASOO BUKCHON SULWHASOO DOSAN ABOUT SULWHASOO BRAND STORY BRAND SUSTAINBILITY 
1,CULTURE CLASSIC LUXURY SET BRAND NEWS CLOSE Search Clear Search Close Sulwhasoo FIRST CARE CONCENTRATED GINSENG GIFT BEST SELLER PRODUCTS SKIN CARE MAKE UP MEN SPA INTRODUCTION SPA PROGRAM RESERVATION LOCATION FLAGSHIP STORE FLAGSHIP STORE SULWHASOO BUKCHON SULWHASOO DOSAN ABOUT SULWHASOO BRAND STORY BRAND SUSTAINBILITY CULTURE CLASSIC LUXURY SET BRAND NEWS STORE LOCATION LANGUAGE International/English Close Language International/English 한국/한국어 中文 繁體中文 Singapore/English Malaysia/English ประเทศไ
2,"ทย/ไทย Việt Nam/Tiếng Việt Indonesia/Bahasa Indonesia USA/English Sulwhasoo brand story Sulwhasoo brand story firm Holistic Beauty Ginseng for Skin Longevity JAUM Activator® to Empower Skin Radiant, Invigorated Skin OUR JOURNEY Beauty That Defies the Flow of Time Holistic Beauty At Sulwhasoo, we combine traditional wisdom with the latest modern technologies to come up with innovative skincare solutions. We reinterpret Korean traditional aesthetics with contemporary views to realize our own uniqu"
3,"e beauty philosophy. Instead of limiting the focus on visible problems, we seek to expand our perspectives to penetrate into the hidden essence. Sulwhasoo’s holistic beauty aims to view a subject matter as a whole rather than a sum of small parts, obtain insight that penetrates into the hidden essence, and transcend time and space limitations. Seeking to break conventional boundaries and exploring new possibilities, we will continue our journey of creating beauty that defies time. 60 Years of Co"
4,"mmitment to Ginseng Research Ginseng for Skin Longevity Believing that ginseng’s health benefits will also be helpful for skin, Sulwhasoo began to study the skin benefits of Korean Ginseng in 1964 with the aim of creating a globally recognized beauty solution using domestically grown ginseng, a plant highly recognized for its potent efficacy. Going beyond anti-aging to accomplish skin longevity, our 60 years’ ginseng research expertise has integrated cutting-edge scientific technologies to devel"
5,"op unique ingredients with the aim of effectively delivering the vital energy of ginseng to skin. Encompassing the root, stem, leaf, and fruit of ginseng, Sulwhasoo’s relentless ginseng research will continue moving ahead. Synergies of Five Plant Ingredients JAUM Activator® to Empower Skin Sulwhasoo’s perspective of holistic beauty is well-embodied in our iconic ingredient, JAUM Activator®. The ingredient was created based on our knowhow on herbal synergistic formulas that blend different ingred"
6,"ients so that they could supplement each other for the strongest efficacy. After testing numerous processing methods and combinations to ensure safe use and potent efficacy, we selected five plant ingredients—Peony, Lotus Seed, Solomon’s Seal, White Lily, and Rehmannia—to create JAUM Activator®, our iconic ingredient that serves as a basis for our skincare formulas. JAUM Activator® awakens skin’s natural power to enhance skin barrier, boost moisture, and visibly increase firmness. Sulwhasoo’s Cr"
7,"eations for Radiant, Invigorated Skin Exposed to irregular living patterns and changes in external environments, skin is always exposed to aging-inducing stimuli. In order to relieve symptoms of aging, skin needs self-rejuvenating power—the power to defy aging on its own. Sulwhasoo’s products are all aimed at strengthening skin’s self-rejuvenating power, with each product designed for its own specific skin benefits. First Care Activating Serum activates stagnant skin to achieve a radiant complex"
8,ion. Concentrated Ginseng Rejuvenating Cream strengthens skin’s natural power from the core for visibly firm skin with stronger self-rejuvenating power. The Ultimate S Cream relieves signs of aging and visibly improves the angle of facial contour. Sulwhasoo’s creations seek to make skin radiant and invigorated to realize timeless beauty. OUR JOURNEY 1932 Beginning of Sulwhasoo Madam Yun Dok-jeong’s Camellia Oil 1954 Beginning of Our Research on Ginseng Korea’s First Research Center for Cosmetics
9, 1966 ABC Ginseng Cream First-ever Ginseng-based Cosmetics Product 1973 Beginning of K-Beauty Ginseng Sammi Overseas Export 1997 First Care Activating Serum First-ever “First Essence” Product 2021 The House of Sulwhasoo Bukchon Sulwhasoo Bukchon Flagship Open 2022 Sulwhasoo Rebloom Go Page Top facebook Instagram Youtube View Details © AMOREPACIFIC CORPORATION. All rights reserved. About us Terms & Conditions Sitemap facebook Instagram Youtube © AMOREPACIFIC CORPORATION. All rights reserved. Choo
10,sing a selection results in a full page refresh. Thanks for subscribing! This email has been registered! Shop the look Close Choose Options Close Close Edit Option this is just a warning Login Close Email Address * Password * Forgot your password? Create account OR CHECK MY MEMBERSHIP Close Shopping Cart 0 items Close Search Search Close Login Create an Account
